Italiano,Inglese
sono,I am
io,I
che,that
lui,he
era,he/she was
per,for
su,on
come,as/like
con,with
loro,they
essere,to be
a,at
avere,to have
questo,this
da,from
di,by
caldo,hot
parola,word
ma,but
cosa,what
alcuni,some
è,is
quello,that
voi,you (pl)
o,or
aveva,had
il,the
di,of
a,to
e,and
un,a
in,in
noi,we
lattina,can (of soda)
fuori,out
altro,other
erano,were
che / quale,which
fare,to do/make
loro,their
tempo,time
se,if
volontà,will
un,an
ogni,each
dire,tell
fa,does
fisso,set (unchanging)
tre,three
desiderare,desire
bene,well
anche,also
giocare,play
piccolo,small
fine,end
mettere,put
casa,home
leggere,read
mano,hand
portare,carry
compitare,spell (words)
anche,even/also
terra,land
qui,here
devo,I must
grande,big
seguire,follow
atto,an act
chiedere,ask
maschi,men
cambiamento,a change
è andato,he/she went
luce,light
tipo,kind (of thing)
spento,turned off
bisogno,need
immagine,image
provare,try
noi,us
di nuovo,again
animale,animal
punto,point
madre,mother
mondo,world
vicino,near
costruire,build
se stesso,himself
terra,earth
padre,father
qualsiasi,any
nuovo,new
parte,part
prendere,take
ottenere,get
posto,place
fatto,made
vivere,live
dove,where
indietro,back
poco,little
solo,only
turno,round
uomo,man
è venuto,came
spettacolo,show
ogni,every
buono,good
me,me
dare,give
sotto,under
nome,name
molto,very
attraverso,through
solo,just
forma,form
frase,sentence
grande,great
pensare,think
dire,say
aiutare,help
basso,low
linea,line
turno,turn
causa,cause
dire,mean
prima,before
spostare,move
diritto,right
ragazzo,boy
vecchio,old
stesso,same
lei,she
tutto,all
quando,when
su,up
modo,way
circa,about
molti,many
allora,then
loro,them
scrivere,write
sarebbe,would
come,like
così,so
queste,these
lungo,long
rendere,make
cosa,thing
vedere,see
ha,has
guardare,look
di più,more
potuto,could
andare,go
ha fatto,did
numero,number
suono,sound
no,no
oltre,over
acqua,water
di,than
chiamata,call
primo,first
che,who
può,may
giù,down
lato,side
stato,been
